id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
leg-extension-022,Leg Extension,Strength,Machine,Legs,Isolation,Quadriceps,"Sit in the leg extension machine and place your shins behind the pad. Grip the handles and extend your knees to lift the weight. Pause briefly at the top, then lower the pad slowly. Keep your hips down against the seat."
hamstring-curl-023,Lying Hamstring Curl,Strength,Machine,Hamstrings,Isolation,"Hamstrings, Calves","Lie face down on the hamstring curl machine and position the pad just above your heels. Curl your heels toward your glutes by bending your knees. Squeeze at the top, then lower the weight with control. Keep your hips pressed into the bench."
calf-raise-024,Standing Calf Raise,Strength,Machine,Calves,Isolation,"Gastrocnemius, Soleus",Stand on the calf raise platform with the balls of your feet on the edge. Lower your heels as far as comfortable to get a full stretch. Rise onto your toes as high as possible. Pause briefly at the top and lower slowly.
ab-crunch-025,Cable Crunch,Strength,Cable Machine,Core,Isolation,"Rectus Abdominis, Obliques",Kneel facing a high cable with a rope attachment held near your temples. Keep your hips still and round your upper spine as you crunch your ribs toward your pelvis. Exhale as you contract your abs. Return slowly to the start without using momentum.
mountain-climber-026,Mountain Climber,Cardio,None (bodyweight),Core,Compound,"Core, Shoulders, Quadriceps, Hip Flexors","Start in a high plank with your hands under your shoulders. Drive one knee toward your chest, then quickly switch legs as if running in place. Keep your hips low and your core tight. Maintain a fast but controlled rhythm."
burpee-027,Burpee,Cardio/Strength,None (bodyweight),Full Body,Compound,"Chest, Legs, Shoulders, Core, Glutes","Stand tall, then squat down and place your hands on the floor. Jump your feet back into a plank and optionally lower into a push-up. Jump your feet back toward your hands and explode upward with a small jump. Land softly and repeat."
jumping-jacks-028,Jumping Jacks,Cardio,None (bodyweight),Full Body,Compound,"Shoulders, Calves, Glutes, Quadriceps, Core",Stand with your feet together and arms at your sides. Jump your feet out while raising your arms overhead. Jump back to the starting position. Keep the movement light and rhythmic.
high-knees-029,High Knees,Cardio,None (bodyweight),Full Body,Compound,"Hip Flexors, Quadriceps, Calves, Core",Stand tall and begin jogging in place while driving your knees up toward hip height. Swing your arms naturally to help maintain pace. Land softly on the balls of your feet. Keep your torso upright and core engaged.
jump-rope-030,Jump Rope,Cardio,Jump Rope,Full Body,Compound,"Calves, Shoulders, Core, Forearms",Hold the rope handles and stand with feet together. Rotate the rope using your wrists and make small jumps as it passes under your feet. Land softly on the balls of your feet. Keep your jumps low and consistent.
box-jump-031,Box Jump,Power,Box/Plyo Box,Legs,Compound,"Quadriceps, Glutes, Calves, Core",Stand in front of a sturdy box with feet shoulder-width apart. Dip slightly at the hips and swing your arms to generate momentum. Jump onto the box and land softly with both feet fully on top. Step down carefully and repeat.
medicine-ball-slam-032,Medicine Ball Slam,Power,Medicine Ball,Full Body,Compound,"Shoulders, Back, Core, Legs",Stand with feet shoulder-width apart holding a medicine ball overhead. Engage your core and forcefully slam the ball into the floor using your upper body and hips. Squat down to pick it up safely. Repeat with explosive effort.
farmer-carry-033,Farmer's Carry,Strength/Conditioning,Dumbbells,Full Body,Compound,"Forearms, Traps, Core, Glutes, Legs",Hold a heavy dumbbell or kettlebell in each hand at your sides. Stand tall with shoulders back and core braced. Walk forward with controlled steps while maintaining posture. Keep the weights from swinging excessively.
hip-thrust-034,Barbell Hip Thrust,Strength,Barbell,Glutes,Compound,"Glutes, Hamstrings, Core","Sit on the floor with your upper back against a bench and a barbell over your hips. Plant your feet shoulder-width apart. Drive through your heels to lift your hips until your torso is parallel to the floor. Squeeze your glutes at the top, then lower under control."
step-up-035,Dumbbell Step-Up,Strength,Dumbbells,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves, Core","Hold dumbbells at your sides and stand in front of a box or bench. Place one foot firmly on the surface and drive through that heel to step up. Bring the other leg up with control, then step back down. Alternate legs or complete all reps on one side before switching."
incline-push-up-036,Incline Push-Up,Strength,None (bodyweight),Chest,Compound,"Chest, Triceps, Shoulders, Core","Place your hands on a bench, box, or elevated surface and extend your legs behind you. Keep your body straight from head to heels. Lower your chest toward the surface by bending your elbows. Press back up to the starting position."
assisted-dip-037,Assisted Dip,Strength,Machine,Chest/Arms,Compound,"Triceps, Chest, Shoulders",Kneel on the assistance pad or use the counterweight setting on a dip machine. Grip the handles and support yourself with straight arms. Lower your body by bending your elbows until your upper arms are parallel to the floor. Press back up until your arms are extended.
pec-fly-038,Pec Deck Fly,Strength,Machine,Chest,Isolation,"Chest, Front Shoulders",Sit at the pec deck machine and place your forearms or hands against the pads. Keep a slight bend in your elbows. Bring the handles together in front of your chest by squeezing your pectoral muscles. Return slowly until you feel a stretch across the chest.
face-pull-039,Cable Face Pull,Strength,Cable Machine,Shoulders,Isolation,"Rear Delts, Upper Back, Traps, Rotator Cuff",Set a rope attachment at upper chest or face height. Pull the rope toward your face while separating your hands and keeping elbows high. Squeeze your upper back at the end of the movement. Return slowly with control.
rear-delt-fly-040,Bent-Over Dumbbell Rear Delt Fly,Strength,Dumbbells,Shoulders,Isolation,"Rear Delts, Rhomboids, Traps","Hinge at the hips with a flat back and let the dumbbells hang beneath your shoulders. With a slight bend in the elbows, raise the weights out to the sides. Squeeze your shoulder blades gently together. Lower slowly without jerking."
ab-wheel-041,Ab Wheel Rollout,Strength,Ab Wheel,Core,Compound,"Rectus Abdominis, Obliques, Shoulders, Lats","Kneel on the floor and hold the ab wheel under your shoulders. Brace your core and roll forward slowly, extending your arms as far as you can while maintaining a neutral spine. Pause briefly, then pull back to the starting position using your abs and lats. Avoid letting your lower back arch."
pistol-squat-042,Pistol Squat,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core, Calves",Stand on one leg with the other leg extended in front of you. Reach your arms forward for balance and lower into a single-leg squat as far as mobility allows. Keep the working foot flat and the knee aligned. Drive through the heel to stand back up.
skull-crusher-043,Barbell Skull Crusher,Strength,Barbell,Arms,Isolation,Triceps,Lie on a bench holding a barbell with arms extended above your chest. Bend your elbows to lower the bar toward your forehead or just behind it. Keep your upper arms steady throughout the movement. Extend your elbows to press the bar back up.
incline-dumbbell-curl-044,Incline Dumbbell Curl,Strength,Dumbbells,Arms,Isolation,"Biceps, Forearms","Sit back on an incline bench with dumbbells hanging at your sides. Curl the weights upward while keeping your upper arms still. Squeeze at the top, then lower slowly to a full stretch. Avoid swinging your torso."
seated-shoulder-press-045,Seated Shoulder Press Machine,Strength,Machine,Shoulders,Compound,"Deltoids, Triceps, Upper Chest",Adjust the seat so the handles are at shoulder level. Sit with your back against the pad and grip the handles. Press upward until your arms are nearly straight. Lower the weight with control to shoulder height.
back-extension-046,Back Extension,Strength,Back Extension Bench,Lower Back,Isolation,"Erector Spinae, Glutes, Hamstrings","Position your hips on the back extension bench and secure your feet. Cross your arms over your chest or place them behind your head. Hinge at the hips to lower your torso, then extend your back and hips to return to a straight line. Avoid hyperextending at the top."
sled-push-047,Sled Push,Strength/Conditioning,Sled,Full Body,Compound,"Quadriceps, Glutes, Calves, Core, Shoulders",Load a sled appropriately and place your hands on the poles. Lean your body forward at an angle and drive through the floor to push the sled. Keep your torso rigid and steps short and powerful. Continue for the desired distance.
renegade-row-048,Renegade Row,Strength,Dumbbells,Back/Core,Compound,"Lats, Rhomboids, Biceps, Core, Shoulders",Start in a high plank position with a dumbbell in each hand. Keep your feet wider than hip-width for stability. Row one dumbbell toward your ribcage while resisting rotation through the torso. Lower it and repeat on the other side.
wall-sit-049,Wall Sit,Strength,None (bodyweight),Legs,Isometric,"Quadriceps, Glutes, Calves, Core",Stand with your back against a wall and slide down until your knees are bent around 90 degrees. Keep your feet flat and knees over ankles. Hold the position while maintaining an upright torso. Breathe steadily throughout the hold.
rowing-machine-050,Rowing Machine Stroke,Cardio,Machine,Full Body,Compound,"Legs, Back, Core, Shoulders, Arms","Sit on the rowing machine with feet secured and hold the handle. Begin with the drive by pushing through your legs, then lean back slightly and pull the handle toward your lower ribs. Reverse the motion by extending your arms, then hinging forward, then bending your knees. Maintain a smooth, rhythmic stroke."
